name,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,average
Computer,2025,28.42,,,,,,,33.89,,,,,62.31,5.19
CraftEvents,2024,140,257.9,673.4,52.64,,,81.75,243.72,,346.46,,182.5,1978.37,164.86
CraftEvents,2025,,,537.4,382.21,-200,,,,329.51,0,,,1049.12,87.43
Crafts,2015,,,,,-150,-40,,,,77.63,,,-112.37,-9.36
Crafts,2016,12.43,,,,,,,,,,,,12.43,1.04
Crafts,2017,,,8.5,,,,,,,24,,,32.5,2.71
Crafts,2018,,,,,6.66,,16.92,196.47,,,291.94,,511.99,42.67
Crafts,2021,,,180.12,,,,,,49.14,,89.65,,318.91,26.58
Crafts,2022,29.36,,,,,,,,899.73,,,,929.09,77.42
Dental Brian,2015,,,379,,,,,,,394,,,773,64.42
Dental Brian,2016,,,,,730,,,,,,,,730,60.83
Dental Brian,2017,273,,,,,,227,,,,,325,825,68.75
Dental Brian,2018,,,,,,,,,245,188,,,433,36.08
Dental Brian,2019,190,,,235,114,,,,,,,,539,44.92
Dental Brian,2020,,,211,,,,429,,114,,,,754,62.83
Dental Brian,2021,,,179,,,,,,145,,,200,524,43.67
Dental Brian,2022,,,,,,,,,258,239,,,497,41.42
Dental Brian,2023,,,,,166,,,,,,,,166,13.83
Dental Brian,2024,,,,,324.17,,57.1,,,,,,381.27,31.77
Dental Brian,2025,,,,,157.52,,,,,,90.12,206.27,453.91,37.83
Dental Sandy,2015,,,165,,,,,458,,,,,623,51.92
Dental Sandy,2016,165,,,,,401,,,,,,416,982,81.83
Dental Sandy,2017,,,933,,,,254,,,,,,1187,98.92
Dental Sandy,2018,1308,,,282,,,,198,2085,,2100,,5973,497.75
Dental Sandy,2019,,,,,114,,,,,,,,114,9.5
Dental Sandy,2020,,,208,,,,208,,143,,,,559,46.58
Dental Sandy,2021,,250,179,,,,,,145,,,,574,47.83
Dental Sandy,2022,,,,,,,,,1734,,,1471,3205,267.08
Dental Sandy,2023,209,,,,,,,,,177,,,386,32.17
Dental Sandy,2024,,,,282,,,,,175.36,,,59.14,516.5,43.04
Dental Sandy,2025,,2227.52,142.42,,,,,,170.72,,,,2540.66,211.72
desc,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Tot,Avg
Dine Coffee,2018,,,,,,,4.6,33.19,,19.93,13.89,,71.61,5.97
Dine Coffee,2019,,,,,,5,,12.33,56.48,1.7,,,75.51,6.29
Dine Fast Food,2015,,,30.43,23.8,25.8,10.25,16,26.25,7.2,3.6,6.56,10.6,160.49,13.37
Dine Fast Food,2016,34,,14.69,47.73,2.35,32.75,4.25,56,50.48,6.47,28.27,13,289.99,24.17
Dine Fast Food,2017,,,,,59.94,19.38,5.25,7.75,20,8.5,,,120.82,10.07
Dine Fast Food,2018,1.75,,9,5.5,9,,5,18.65,5.97,,18.65,18,91.52,7.63
Dine Fast Food,2019,,15.5,5.46,,15.57,26.5,4,49.55,101.96,40.87,8.87,3.91,272.19,22.68
Dine Fast Food,2020,32.13,28.76,3.91,9.26,,,,10.07,3.91,11.73,9.46,,109.23,9.1
Dine Fast Food,2021,6.7,5.01,16.04,1.62,27.03,11.51,12.78,,9.9,56.65,4.01,3.47,154.72,12.89
Dine Fast Food,2022,4.01,8.02,31.84,4.71,8.03,,7.32,25.44,27.92,20.85,5.17,,143.31,11.94
Dine Fast Food,2023,,25.72,51.4,5.17,46.58,8.4,21.57,33.2,5.17,5.39,16.17,17.9,236.67,19.72
Dine Fast Food,2024,5.39,,25,38.71,132.66,86.15,67.19,18,29.34,18.87,3.39,60.51,485.21,40.43
Dine Fast Food,2025,9.59,8.9,10.78,37.46,51.04,,49.11,150.55,44.93,73.12,5.62,14.41,455.51,37.96
Dine Lunch,2016,,,25.61,,,,,,,,,,25.61,2.13
Dine Lunch,2017,,,,68.09,32.85,34.75,,,,,,,135.69,11.31
Dine Lunch,2018,,,,,,,17.5,,,,,,17.5,1.46
Dine Lunch,2020,,,,,,,,,2.83,,,,2.83,0.24
Dine Lunch,2022,,70,,,,,,45,,,21.81,,136.81,11.4
Dine Lunch,2024,,,,,,,,,38.95,,30,50,118.95,9.91
Dine Lunch,2025,,,,23.85,,,,,,,10.75,,34.6,2.88
Dine Order In,2015,84.32,47.63,81.82,42.16,103.35,95.42,51.96,48.84,80.22,77.02,179.11,208.09,1099.94,91.66
Dine Order In,2016,93.99,67.71,,,115.45,34.73,28.85,105.63,123.93,,28.85,106.4,705.54,58.8
Dine Order In,2017,104.1,,121.55,64.5,28.85,,107.09,115.3,,167.82,131.16,152.45,992.82,82.74
Dine Order In,2018,94.19,196.31,,70.69,92.11,53,51.72,74.34,,62.71,118.48,257.96,1071.51,89.29
Dine Order In,2019,13.42,22.28,17.29,63.74,68.2,46.98,107.76,88.32,24.49,73.47,122.81,73.47,722.23,60.19
Dine Order In,2020,127.32,137.16,181.18,91.27,115.92,110.16,99.95,88.76,76.47,146.66,89.07,268.25,1532.17,127.68
Dine Order In,2021,100.89,134.64,26.05,202.26,306.02,127.42,128.45,51.66,222.79,160.08,78.38,271.34,1809.98,150.83
Dine Order In,2022,136.37,134.86,155.01,50.46,,133.36,120.09,98.32,175.14,228.14,86.24,300.56,1618.55,134.88
Dine Order In,2023,124.16,128.92,216.96,204.64,128.64,156.55,-11.85,79.5,64.07,222.89,63.96,138.6,1517.04,126.42
Dine Order In,2024,125.57,128.09,84.37,259.22,225.09,228.65,28.42,69.63,41.94,27.96,41.95,99.1,1359.99,113.33
Dine Order In,2025,12.38,40.34,-21,110.93,103.17,77.63,50.58,38.83,42.91,36.98,122.61,102.17,717.53,59.79
Dine Restraunts,2015,241.79,681.17,235.49,175.97,34.12,189.49,693.24,116.79,481.04,319.81,277.7,50.65,3497.26,291.44
Dine Restraunts,2016,218.33,50.38,735.38,345.23,362.14,343.18,190.6,119.95,285.88,249.13,358.46,133.7,3392.36,282.7
Dine Restraunts,2017,247.54,275.73,272.9,286.82,190.05,500.61,456.59,121.9,596.01,351.05,297.98,306.56,3903.74,325.31
Dine Restraunts,2018,399.11,1326.86,196.69,412.67,364.6,822.15,554.37,495.49,190.87,403.23,280.03,181.75,5627.82,468.98
Dine Restraunts,2019,223.95,436.25,352.16,296.59,95.22,192.27,97.63,195.93,298.6,347.92,378.94,306.16,3221.62,268.47
Dine Restraunts,2020,,188.85,,116.36,,85.02,209.51,136.27,145.14,103.08,,109.96,1094.19,91.18
Dine Restraunts,2021,145.62,243.16,180.86,34.63,,19.91,237.1,148.43,145.73,153.17,194.19,150.99,1653.79,137.82
Dine Restraunts,2022,185.53,332.36,142.51,342.27,381.19,499.32,148.42,147.29,255.37,456.57,287.11,53.08,3231.02,269.25
Dine Restraunts,2023,218.78,253.99,204.28,179.99,280.05,186.2,479.08,512.84,124.3,38.87,440.65,213.98,3133.01,261.08
Dine Restraunts,2024,161.15,250.58,370.34,379.01,681.29,359.5,659.99,519.91,524.99,22.01,251.54,320.65,4500.96,375.08
Dine Restraunts,2025,303.82,129.57,533.71,488.45,294.3,327.63,185.46,324.5,323.06,448.28,914.63,347.62,4621.03,385.09
Donations,2022,,,25,,,,,,,,,,25,2.08
Donations,2025,,,20.86,10,,,,,,,,,30.86,2.57
Drugs,2015,19,,,,,,,,,,,,19,1.58
Drugs,2015,62.32,15.65,,,42.15,2,,4,,20.33,,,146.45,12.2
Drugs,2016,,,,,41.54,,,,33.89,,,,75.43,6.29
Drugs,2017,,,,,,,4.11,167.26,,,17.45,,188.82,15.74
Drugs,2018,45.44,,,,16.94,,14.21,29.99,,,6.77,61.28,174.63,14.55
Drugs,2019,42.42,50.5,,,89.88,27.55,,30.17,,62.52,50.44,9.51,362.99,30.25
Drugs,2020,24.49,63.26,,,,64.26,,44.06,18.39,34.78,,,249.24,20.77
Drugs,2021,,,,,,,,,,3.6,,,3.6,0.3
Drugs,2021,,9.03,,,,25.3,45.61,,,,51.95,361.23,493.12,41.09
Drugs,2022,,,,,,,20.82,152.3,38.96,22.82,105.44,,340.34,28.36
Drugs,2022,,,262.5,,,,252,41.11,48.58,61.68,,,665.87,55.49
Drugs,2023,,,,,62.05,57.09,20.8,,,13.84,273.07,262.38,689.23,57.44
Drugs,2023,,,,,16.94,170.89,,,296.69,,18.68,,503.2,41.93
Drugs,2024,,268.82,268.06,,32.53,,8.45,66.96,52.86,2,,,699.68,58.31
Drugs,2024,295.37,,53.1,,91.6,96.29,,,,117.35,128.73,60.86,843.3,70.28
Drugs,2025,,,,,,12.53,46.88,39.82,,2,53.93,19.79,174.95,14.58
Drugs,2025,59.9,69.58,65.12,59.04,184.42,94.86,15.36,54.54,60.46,18.07,22.07,20.1,723.52,60.29
Entertainment,2023,23.81,,,,,,,,,,111.87,,135.68,11.31
Equipment,2015,,,,,,1974.18,1366.05,835.41,1082.13,307.45,163.25,129.92,5858.39,488.2
Equipment,2016,81.77,169.28,44.64,105.55,25.98,22.55,,29.24,270,,2.99,7.16,759.16,63.26
Equipment,2017,326.04,,13.92,489.66,57.04,102.14,25.76,64.6,41.52,67.74,6.18,,1194.6,99.55
Equipment,2018,,136.72,25.48,132.3,12.92,,,8.5,,,,,315.92,26.33
Equipment,2019,,143.5,13.46,,,,,44.6,,,,32.76,234.32,19.53
Equipment,2020,30.48,,,,,,122.02,,-58.75,,10.15,,103.9,8.66
Equipment,2022,,,,58.61,,,,,19.07,,,,77.68,6.47
Estate,2015,,,,,,,,,,,,151.72,151.72,12.64
Estate,2016,-151.72,,,,-8000,,,-2000,,,-500,,-10651.72,-887.64
Estate,2017,,,,,-925,,,,,,,,-925,-77.08
Excursions,2015,,,,,224,,,,-73.03,,,,150.97,12.58
Excursions,2017,,,,,1095.48,207.7,,,183.25,,,,1486.43,123.87
Excursions,2019,,9.45,,,,,,,215.5,,,,224.95,18.75
exhibits,2025,,,,,,659.22,,,,30,,,689.22,57.44
Fitness,2017,,,,,,,,,,,39.25,,39.25,3.27
Fitness,2017,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,10.99,10.99,121.88,10.16
Fitness,2021,,,,,,,,,,41.79,,,41.79,3.48
Fitness,2024,,,,,40.5,,,,,,,,40.5,3.38
Fitness,2025,,,60,,,,,,,35,,,95,7.92
Fuel Kia,2015,168.68,237.23,205.22,186.06,172.56,165.75,114.56,242.83,106.49,179.69,223.12,286.71,2288.9,190.74
Fuel Kia,2016,173.64,94.73,,,184.98,147.46,,244.73,91.3,,,131.8,1068.64,89.05
Fuel Kia,2017,112.75,56.89,85.18,161.99,103.52,,135.71,134.88,,130.6,153.19,148.54,1223.25,101.94
Fuel Kia,2018,68.63,180.52,67.15,266.4,366.6,308.11,348.32,397.18,43.92,142.39,194.33,211.21,2594.76,216.23
Fuel Kia,2019,155,61.71,,195.94,308.63,149.52,143.48,189.12,33.4,122.71,186.52,205.58,1751.61,145.97
Fuel Kia,2020,149.1,135.76,53.54,22.11,55.55,128.3,134.05,122.87,108.52,74.59,105.37,32.11,1121.87,93.49
Fuel Kia,2021,32.64,88.32,83.31,75.04,91.99,226.65,235.02,209.36,92.1,368.35,318.57,130.21,1951.56,162.63
Fuel Kia,2022,53,216.51,555.5,50.37,,191.31,314.14,292.22,171.21,480.89,203.62,131.51,2660.28,221.69
Fuel Kia,2023,160.07,138.29,231.05,163.7,338.57,281.39,169.48,249.7,64.57,167.08,81.49,235,2280.39,190.03
Fuel Kia,2024,153.48,166.49,62,161.87,136.08,55.71,,67.46,97.76,45.69,,,946.54,78.88
Fuel Kia,2025,,,,18.33,38.7,,53.97,49.12,101.33,48.32,45.98,74.6,430.35,35.86
Fuel Kia2,2024,,,,69.25,206.65,69.21,121.38,193.51,204,109.93,74.02,270.98,1318.93,109.91
Fuel Kia2,2025,146.69,153.85,99.25,212.12,277.43,49.13,167.3,221.75,107.71,143.44,60,87.77,1726.44,143.87
Fuel Roadtrek,2015,,,,,,,261.39,104.75,469.06,,,76.77,911.97,76
Fuel Roadtrek,2016,,279.72,549.88,518.85,239.77,165.13,1091.15,,,827.54,848.6,58.44,4579.08,381.59
Fuel Roadtrek,2017,,,,,1202.05,1402.01,501.91,182.71,1276.15,551.97,,,5116.8,426.4
Fuel Roadtrek,2018,,262.24,471.06,,,,,106.41,44.6,,46.48,,930.79,77.57
Fuel Roadtrek,2019,,919.97,1182.37,42.33,111.5,,250.66,218.73,1057.94,101.61,,108,3993.11,332.76
Fuel Roadtrek,2020,,,,70.69,147.98,,371.86,,146.85,,41.46,,778.84,64.9
Fuel Roadtrek,2022,,,168.3,1820.69,1741.79,1753.52,68.63,288.76,87.98,150,,,6079.67,506.64
Fuel Roadtrek,2023,,,,,,167,,286.89,,,,,453.89,37.82
Furniture,2018,,175,,1534.88,2709.15,5318.59,1873.78,2719.48,519.76,-502.02,81.67,988.75,15419.04,1284.92
Furniture,2019,,,,2587.68,650,,,-50,,,,,3187.68,265.64
Furniture,2020,,47.76,,69.99,-28.99,154.66,28.24,,,30.99,,440.69,743.34,61.94
Furniture,2021,,251.12,,,,,14.68,,,,,,265.8,22.15
Furniture,2022,99.4,,,,,,149,52.16,,,,,300.56,25.05
Furniture,2023,,,,,65.51,,9.03,10.16,,,196.31,,281.01,23.42
Furniture,2024,150,238.7,8.05,,,,,,-26.77,,,,369.98,30.83
Furniture,2025,,,,36.14,,45.19,,,,,,,81.33,6.78
Gambling,2015,3,3,,,,,,,,,,,6,0.5
Gambling,2016,,5,,,,,,,,,,25,30,2.5
Gambling,2017,,,,,,,,,,,,80,80,6.67
Gambling,2018,40,,,,21,48,25.5,,,,,,134.5,11.21
Gambling,2019,,10,,,,,2,,,,,,12,1
Gambling,2024,20,,,,,,,,,,,,20,1.67
Gambling,2025,,,50,,50,,,,,40,,,140,11.67
Gardening,2018,,,,,,,,,2887.5,12.4,180.96,,3080.86,256.74
Gardening,2019,,,,,608.64,65.91,22.54,,,,6.2,,703.29,58.61
Gardening,2020,,,,,4202.77,198.38,,120,,,,,4521.15,376.76
Gardening,2021,,,19.21,1464.68,372.74,12.57,,,,,178.3,,2047.5,170.62
Gardening,2022,,,,,,,392.62,,,,150.9,,543.52,45.29
Gardening,2023,,,,,29.43,,,,,,,150.26,179.69,14.97
Gardening,2024,,,,453.88,44.53,,,,48.56,,206.6,,753.57,62.8
Gardening,2025,,,,457.96,140.02,,77.94,,56.48,,137.25,,869.65,72.47
Gary,2018,,,,,2000,2000,7000,15000,10000,10000,10000,5000,61000,5083.33
Gary,2019,17000,2000,,,,,,,,,,,19000,1583.33
Gift Received,2015,,,,-50,-30,,,,,,,,-80,-6.67
Gifts birthdays,2015,,41.63,82,,120.09,,98.18,,56.49,,,,398.39,33.2
Gifts birthdays,2016,,77.47,,,273.25,76.75,,93.73,14.5,,,,535.7,44.64
Gifts birthdays,2017,,,267.81,,,,,222.48,,,,,490.29,40.86
Gifts birthdays,2018,97.18,101.21,,,,,,10,,,,,208.39,17.37
Gifts birthdays,2019,113,255.76,,,,,191.08,225.94,,,,,785.78,65.48
Gifts birthdays,2020,67.24,72.31,,,,140,101.69,,100,,,,481.24,40.1
Gifts birthdays,2021,40,,216.79,,,66.61,,-40,,,,,283.4,23.62
Gifts birthdays,2022,,77.59,,,,,,420,100,,,,597.59,49.8
Gifts birthdays,2023,82.49,50,332.85,,56.5,150,,,,,,87.71,759.55,63.3
Gifts birthdays,2024,,306.93,,,,,,,,,,,306.93,25.58
Gifts birthdays,2025,,53.99,,,,,50,,,,107.35,,211.34,17.61
Gifts Given,2016,,,,,,,20.75,,,,,,20.75,1.73
Gifts Given,2018,,,13.53,,,99.98,-250,,,,,-125.31,-261.8,-21.82
Gifts Given,2020,,,178.59,,,,59.97,,,,,,238.56,19.88
Gifts Given,2022,,,,,,,,,,,103,,103,8.58
Gifts Given,2023,,,,25,,,,,,,,,25,2.08
Gifts Given,2025,,,52.99,,,,,,,,,,52.99,4.42
Gifts other,2015,,1000,,,,8.91,101.64,44.74,,164.32,,22.59,1342.2,111.85
Gifts other,2016,75.29,16.92,,,,,,,,,,26,118.21,9.85
Gifts other,2017,55.37,,,,,,,0,,,,,55.37,4.61
Gifts other,2018,,15.81,,10,,10000,,47.44,35.36,,125.31,23.99,10257.91,854.83
Gifts other,2019,20.18,,129.68,,,,,,62.06,,,,211.92,17.66
Gifts other,2020,,,,-10,,,,,,,,,-10,-0.83
Gifts other,2021,,1700,,,,,,,,,,,1700,141.67
Gifts other,2022,,,,,,,,,,,170.34,,170.34,14.2
Gifts other,2023,,13.55,159.24,,,,,,,,18.06,50,240.85,20.07
Gifts other,2024,112.72,,,,,120,,,,-3.51,176.85,,406.06,33.84
Gifts other,2025,,66.63,50,,,,,39.31,56.49,113.98,,,326.41,27.2
Gifts wedding,2015,,,,,,,,,,500,,,500,41.67
Gifts wedding,2016,,,,,836.2,10300,80,1012.94,1503.79,,,,13732.93,1144.41
Gifts wedding,2018,,,,,,,,,,,500,,500,41.67
Gifts wedding,2019,,,,128.25,,400,,,,,,,528.25,44.02
Gifts wedding,2025,,,,,,,,,,289.06,,,289.06,24.09
Gifts Xmas,2015,-235.73,,,,,,,,,,84.72,1004.24,853.23,71.1
Gifts Xmas,2016,,,,,,,,,,,,802.62,802.62,66.88
Gifts Xmas,2017,,,,,,,,,,,415.2,1484,1899.2,158.27
Gifts Xmas,2018,48.6,,,1325,438,,8.19,,,,,350.93,2170.72,180.89
Gifts Xmas,2019,-2.54,,,,,,,,,,343.08,239.44,579.98,48.33
Gifts Xmas,2020,,,,,,,,,,493.81,54.23,300,848.04,70.67
Gifts Xmas,2021,,,,,,,,,,13.54,,732.8,746.34,62.2
Gifts Xmas,2022,,,,,,,,,,,197.55,268.22,465.77,38.81
Gifts Xmas,2023,,,,,,,,,,,,954.28,954.28,79.52
Gifts Xmas,2024,,,,,,,,,,,100,521.51,621.51,51.79
Gifts Xmas,2025,,,,,,,,,,,5.09,74.88,79.97,6.66
Glasses Brian,2016,,,,,,,,,,,,172.8,172.8,14.4
Glasses Brian,2019,367,68,,,,,,,,,,,435,36.25
Glasses Brian,2020,,,,,,,,,,,,1476,1476,123
Glasses Brian,2021,,,,,,,,,,,,98.5,98.5,8.21
Glasses Brian,2024,,,,429.98,,,,,,,,,429.98,35.83
Glasses Brian,2025,,,,,,,,,,839.96,,,839.96,70
Glasses Sandy,2015,,,4.5,,,,,,,,,,4.5,0.38
Glasses Sandy,2016,,,,,,312.2,,,,,,,312.2,26.02
Glasses Sandy,2018,,181.04,,,,,,,,,,,181.04,15.09
Glasses Sandy,2019,,30,,,,,,,,,359.98,,389.98,32.5
Glasses Sandy,2020,,,,,,,,,,,,38,38,3.17
Glasses Sandy,2021,,,,,,379.98,,,,,,98.51,478.49,39.87
Glasses Sandy,2024,,,,654.98,,,,,,,,,654.98,54.58
Glasses Sandy,2025,,,,,,,,,,639.96,,,639.96,53.33
Go Transit,2015,,,19.6,,,31.2,,20,11.2,20,20,,122,10.17
Go Transit,2016,,11.2,,,,5.7,,,16.8,,,,33.7,2.81
Go Transit,2017,11.2,,16.8,,,,,,,,,,28,2.33
Go Transit,2018,22.4,,,,,,,,,,,,22.4,1.87
Go Transit,2021,,,,,,,,,13.15,,,,13.15,1.1
Go Transit,2024,,,,,,,,,,,73.8,,73.8,6.15
Go Transit,2025,,,,,,13.15,,,,,,,13.15,1.1
Golf Cart,2022,,,,,,791,,,,,,,791,65.92
Golf Cart,2023,,,,847.5,,,,,,,,,847.5,70.62
Golf Cart,2024,,,,1130,,,,,,,,,1130,94.17
Golf Cart,2025,,,,1130,,,,,,,,,1130,94.17
Golf Equipment,2015,,27.52,24.85,40.66,37.28,20.35,,,,,,,150.66,12.56
Golf Equipment,2016,,15.01,181.21,,,30.97,,,22.55,,,,249.74,20.81
Golf Equipment,2017,35.68,,,,,,,,,,,,35.68,2.97
Golf Equipment,2018,,,23.56,,,,,19.15,,,,,42.71,3.56
Golf Equipment,2019,,,,180.79,,,52.23,26.99,,,,,260.01,21.67
Golf Equipment,2020,,,,,,,,623.4,-225.95,,,,397.45,33.12
Golf Equipment,2021,,,216.66,,,13.55,85.18,37.39,,,,,352.78,29.4
Golf Equipment,2022,,,,,,44.06,,,48.58,,,,92.64,7.72
Golf Equipment,2023,14.07,47.44,,,,,,56.22,,21.46,,,139.19,11.6
Golf Equipment,2024,,,110.49,33.9,180.79,,,38.41,50.84,9.33,,,423.76,35.31
Golf Equipment,2025,,,,34.99,,,,45.72,15.24,,,,95.95,8
Golf Games,2015,,1470.76,,48,720,574,68.46,430.9,240,336,96,,3984.12,332.01
