name,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,average
Util Internet,2023,112.99,112.99,116.38,116.38,116.38,116.38,116.38,232.76,,116.38,116.38,116.38,1389.78,115.82
Util Internet,2024,116.38,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,120.9,1446.28,120.52
Util Internet,2025,120.9,120.9,120.9,120.9,229.91,,128.81,128.81,128.81,128.81,128.81,128.81,1486.37,123.86
Util phone Rogers,2023,72.91,45.2,45.2,45.2,45.2,45.2,45.2,90.4,,45.2,45.2,45.2,570.11,47.51
Util phone Rogers,2024,45.2,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,592.12,49.34
Util phone Rogers,2025,66.67,66.67,53.68,53.68,53.68,,,,,,,,294.38,24.53
Util Roam,2018,,,,,,,,,,,,11.24,11.24,0.94
Util Roam,2019,,169.32,,,27.95,124.42,,,,39.13,,,360.82,30.07
Util Roam,2020,,,,,,,-152.37,,,,,,-152.37,-12.7
Util Speakout,2017,,,,,,,,,,,,139.55,139.55,11.63
Util Speakout,2018,,,,,,,,,,,28.25,,28.25,2.35
Util Speakout,2019,,,,,,,,,,,28.25,,28.25,2.35
Util Speakout,2020,,,,,,,,,,,28.25,,28.25,2.35
Util Speakout,2021,,,,,,,,,,,28.25,,28.25,2.35
Util Speakout,2022,,,,,,,,,,,28.25,,28.25,2.35
Util Speakout,2023,,,,,,,,,,28.25,,,28.25,2.35
Util Speakout,2024,,,,,,,,,,28.25,,,28.25,2.35
Util Speakout,2025,,,,,,,,28.25,,,,15.82,44.07,3.67
Util Telephone,2015,11.3,15.28,19.26,11.3,7.96,22.6,139.14,3.98,,65.4,4.5,9,309.72,25.81
Util Telephone,2016,4.5,4.5,4.5,4.5,4.5,139.96,4.5,4.5,4.5,4.5,4.5,4.5,189.46,15.79
Util Telephone,2017,,,-90,,,,,,,,,,-90,-7.5
Util TV,2022,,120,,,,,,,,,,,120,10
Util TV,2023,150,,,,,,,,,,,,150,12.5
Util TV,2024,125,,,,,,,,,,,,125,10.42
Util TV,2025,150,,,,,,,,,,,,150,12.5
Util Use Net,2017,,,,,,,,103.23,,,,,103.23,8.6
Util Use Net,2018,,0,,,,,,,,,24.48,,24.48,2.04
Util Use Net,2020,,,,,,,,48.16,,,16.07,,64.23,5.35
Util Use Net,2021,,,,,,,,44.06,,,,,44.06,3.67
Util Use Net,2022,,,,,,,,45.34,,,,,45.34,3.78
Util Use Net,2023,,,,,,,,47.53,,,,,47.53,3.96
Util Use Net,2024,,,,,,,,47.02,,,,,47.02,3.92
Util Use Net,2025,,,,,,,,48.3,,,,,48.3,4.02
Util voip.ms,2017,38.16,77.06,38.16,,38.39,,,,35.81,,,36.56,264.14,22.01
Util voip.ms,2018,,,37.87,,,38.61,,,,37.83,,37.83,152.14,12.68
Util voip.ms,2019,,,37.83,,39.03,,,37.83,,,38.59,,153.28,12.77
Util voip.ms,2020,,37.83,,40.64,,37.83,,37.83,,,37.83,37.83,229.79,19.15
Util voip.ms,2021,35.79,,35.79,,37.83,,,37.83,,37.83,,,185.07,15.42
Util voip.ms,2022,37.83,37.83,,,,37.83,,37.83,,37.83,,37.83,226.98,18.92
Util voip.ms,2023,,37.83,,,37.83,,,37.83,,,37.83,,151.32,12.61
Util voip.ms,2024,37.83,,37.83,,37.83,,,40.22,,39.84,,,193.55,16.13
Util voip.ms,2025,41.86,41.83,,,41.83,,41.83,,,41.83,,39.95,249.13,20.76
Util VPN,2017,,,,,,,,,,,,78.11,78.11,6.51
Util VPN,2019,,,,,,,,,,,,80.65,80.65,6.72
Util VPN,2021,,,,,,,,,,,,78.88,78.88,6.57
Util VPN,2023,,,,,,,,,,,,81.88,81.88,6.82
Util Water,2015,133.65,,,,141.94,,,,171.08,,,,446.67,37.22
Util Water,2016,144.03,,,,90.6,,,,113.41,,,,348.04,29
Util Water,2017,105.09,,,157.77,,,,,109.61,,,,372.47,31.04
Util Water,2018,174.82,,,,179.5,55.27,,,,,227.59,,637.18,53.1
Util Water,2019,138.13,,154.58,,154.58,,154.58,,154.58,,154.58,,911.03,75.92
Util Water,2020,154.58,,157.52,,157.52,,184.56,,157.52,,157.52,,969.22,80.77
Util Water,2021,157.52,,200.52,,191,,242.24,,250.64,,179.44,,1221.36,101.78
Util Water,2022,199.16,,182.84,,180.75,,148.73,,192.87,,185.01,,1089.36,90.78
Util Water,2023,191.05,,191.95,,195.53,,197.12,,190.11,,176.65,,1142.41,95.2
Util Water,2024,195.71,,190.22,,194.64,,196.71,,187.76,,198.71,,1163.75,96.98
Util Water,2025,205.36,,200.47,,202.21,,188.94,,201.31,,208.3,,1206.59,100.55
Vehicle,2015,,,,,4000,,50000,,,,,,54000,4500
Vehicle,2024,,,,-49000,,,,,,,,,-49000,-4083.33
verizon,2019,,231.15,,,,,,,,,,,231.15,19.26
verizon,2022,,,,111.28,195.06,,,,,,,,306.34,25.53
Video,2016,16.76,,,,,,,,,,,,16.76,1.4
Wash,2018,,,,,10.16,19.16,,13.55,13.55,,,40.65,97.07,8.09
Wash,2019,,13.55,,,13.55,,,,,,,13.55,40.65,3.39
Wash,2020,27.1,,13.55,,,,,,13.55,13.55,,,67.75,5.65
Wash,2021,13.55,6.43,13.55,,,13.55,11.29,,,,,13.55,71.92,5.99
Wash,2022,11.29,,35.79,67.43,,,,,,,,27.1,141.61,11.8
Wash,2023,,13.55,13.55,,,14.68,,,,,,,41.78,3.48
Wash,2024,,31.62,,15.81,,,24.85,,14,15.81,40.66,,142.75,11.9
Wash,2025,24.85,15.81,15.81,,,15.81,,,15.81,,,,88.09,7.34
Water,2015,186.89,,,,210.41,,114.94,,,,,,512.24,42.69
Wi-Fi,2017,,,,,,,,,2.5,,,,2.5,0.21
zz_Taxes,2015,,,,,,,,,2.37,,,,2.37,0.2
